artist,song,features
Queen,Somebody To Love - Remastered 2011,"[{'danceability': 0.406, 'energy': 0.698, 'key': 8, 'loudness': -7.024, 'mode': 1, 'speechiness': 0.0624, 'acousticness': 0.186, 'instrumentalness': 0, 'liveness': 0.233, 'valence': 0.333, 'tempo': 109.266, 'type': 'audio_features', 'id': '4rDbp1vnvEhieiccprPMdI', 'uri': 'spotify:track:4rDbp1vnvEhieiccprPMdI', 'track_href': 'https://api.spotify.com/v1/tracks/4rDbp1vnvEhieiccprPMdI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4rDbp1vnvEhieiccprPMdI', 'duration_ms': 296480, 'time_signature': 3}]"
Queen,Love Of My Life - Remastered 2011,"[{'danceability': 0.329, 'energy': 0.179, 'key': 5, 'loudness': -11.589, 'mode': 1, 'speechiness': 0.0299, 'acousticness': 0.933, 'instrumentalness': 5.04e-06, 'liveness': 0.115, 'valence': 0.255, 'tempo': 154.175, 'type': 'audio_features', 'id': '4YJUTdZ0Pgl0ZeNyHYXeLd', 'uri': 'spotify:track:4YJUTdZ0Pgl0ZeNyHYXeLd', 'track_href': 'https://api.spotify.com/v1/tracks/4YJUTdZ0Pgl0ZeNyHYXeLd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4YJUTdZ0Pgl0ZeNyHYXeLd', 'duration_ms': 217387, 'time_signature': 4}]"
Queen,Killer Queen - Remastered 2011,"[{'danceability': 0.535, 'energy': 0.651, 'key': 10, 'loudness': -6.326, 'mode': 1, 'speechiness': 0.0544, 'acousticness': 0.391, 'instrumentalness': 0, 'liveness': 0.133, 'valence': 0.612, 'tempo': 117.218, 'type': 'audio_features', 'id': '4cIPLtg1avt2Jm3ne9S1zy', 'uri': 'spotify:track:4cIPLtg1avt2Jm3ne9S1zy', 'track_href': 'https://api.spotify.com/v1/tracks/4cIPLtg1avt2Jm3ne9S1zy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4cIPLtg1avt2Jm3ne9S1zy', 'duration_ms': 179600, 'time_signature': 4}]"
Queen,Don't Stop Me Now - ...Revisited,"[{'danceability': 0.465, 'energy': 0.917, 'key': 5, 'loudness': -6.331, 'mode': 1, 'speechiness': 0.237, 'acousticness': 0.0152, 'instrumentalness': 0.02, 'liveness': 0.286, 'valence': 0.39, 'tempo': 155.061, 'type': 'audio_features', 'id': '3INsYP1Y8GG4qJvBsKCdXC', 'uri': 'spotify:track:3INsYP1Y8GG4qJvBsKCdXC', 'track_href': 'https://api.spotify.com/v1/tracks/3INsYP1Y8GG4qJvBsKCdXC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3INsYP1Y8GG4qJvBsKCdXC', 'duration_ms': 217824, 'time_signature': 4}]"
Queen,Good Old-Fashioned Lover Boy - Remastered 2011,"[{'danceability': 0.543, 'energy': 0.461, 'key': 3, 'loudness': -6.724, 'mode': 1, 'speechiness': 0.0302, 'acousticness': 0.577, 'instrumentalness': 0, 'liveness': 0.0563, 'valence': 0.385, 'tempo': 96.803, 'type': 'audio_features', 'id': '1n7xFAY4xoPeqRvrkzAtsw', 'uri': 'spotify:track:1n7xFAY4xoPeqRvrkzAtsw', 'track_href': 'https://api.spotify.com/v1/tracks/1n7xFAY4xoPeqRvrkzAtsw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1n7xFAY4xoPeqRvrkzAtsw', 'duration_ms': 173173, 'time_signature': 4}]"
Queen,The Show Must Go On - Remastered 2011,"[{'danceability': 0.426, 'energy': 0.687, 'key': 11, 'loudness': -6.926, 'mode': 0, 'speechiness': 0.0329, 'acousticness': 0.409, 'instrumentalness': 0, 'liveness': 0.112, 'valence': 0.189, 'tempo': 84.141, 'type': 'audio_features', 'id': '5n6RDaGFSN88oRWuGtYAIN', 'uri': 'spotify:track:5n6RDaGFSN88oRWuGtYAIN', 'track_href': 'https://api.spotify.com/v1/tracks/5n6RDaGFSN88oRWuGtYAIN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5n6RDaGFSN88oRWuGtYAIN', 'duration_ms': 277827, 'time_signature': 4}]"
Queen,You're My Best Friend - Remastered 2011,"[{'danceability': 0.51, 'energy': 0.76, 'key': 0, 'loudness': -6.995, 'mode': 1, 'speechiness': 0.0411, 'acousticness': 0.148, 'instrumentalness': 0.0116, 'liveness': 0.0706, 'valence': 0.55, 'tempo': 118.829, 'type': 'audio_features', 'id': '4vhVDkSx9RSb2k6mWFMYNI', 'uri': 'spotify:track:4vhVDkSx9RSb2k6mWFMYNI', 'track_href': 'https://api.spotify.com/v1/tracks/4vhVDkSx9RSb2k6mWFMYNI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4vhVDkSx9RSb2k6mWFMYNI', 'duration_ms': 170787, 'time_signature': 4}]"
Queen,I Want It All - Single Version,"[{'danceability': 0.406, 'energy': 0.847, 'key': 11, 'loudness': -5.705, 'mode': 0, 'speechiness': 0.0482, 'acousticness': 0.0249, 'instrumentalness': 3.01e-06, 'liveness': 0.375, 'valence': 0.379, 'tempo': 92.245, 'type': 'audio_features', 'id': '1MX6kqZ8FOht5UnQuPl6Jj', 'uri': 'spotify:track:1MX6kqZ8FOht5UnQuPl6Jj', 'track_href': 'https://api.spotify.com/v1/tracks/1MX6kqZ8FOht5UnQuPl6Jj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1MX6kqZ8FOht5UnQuPl6Jj', 'duration_ms': 242093, 'time_signature': 4}]"
Queen,Fat Bottomed Girls - Remastered 2011,"[{'danceability': 0.337, 'energy': 0.684, 'key': 2, 'loudness': -7.674, 'mode': 1, 'speechiness': 0.0495, 'acousticness': 0.0319, 'instrumentalness': 6.57e-06, 'liveness': 0.342, 'valence': 0.404, 'tempo': 88.772, 'type': 'audio_features', 'id': '4igIYHF3B5VBxEafHauVo3', 'uri': 'spotify:track:4igIYHF3B5VBxEafHauVo3', 'track_href': 'https://api.spotify.com/v1/tracks/4igIYHF3B5VBxEafHauVo3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4igIYHF3B5VBxEafHauVo3', 'duration_ms': 255600, 'time_signature': 4}]"
Queen,Radio Ga Ga - Live Aid,"[{'danceability': 0.406, 'energy': 0.934, 'key': 5, 'loudness': -6.668, 'mode': 1, 'speechiness': 0.0845, 'acousticness': 0.0138, 'instrumentalness': 0, 'liveness': 0.955, 'valence': 0.395, 'tempo': 118.823, 'type': 'audio_features', 'id': '0YwBZKT8JE4U5TwmYE9BV9', 'uri': 'spotify:track:0YwBZKT8JE4U5TwmYE9BV9', 'track_href': 'https://api.spotify.com/v1/tracks/0YwBZKT8JE4U5TwmYE9BV9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0YwBZKT8JE4U5TwmYE9BV9', 'duration_ms': 245680, 'time_signature': 4}]"
