artist,track,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
tyler bryant & the shakedown,devil's keep,0.646,0.724,-5.383,0.0237,0.0531,0.000588,0.0597,0.328,103.394,0
vintage trouble,run like the river,0.649,0.944,-4.518,0.0485,0.0158,4.41e-05,0.161,0.489,126.059,0
u2,when love comes to town,0.65,0.665,-11.259,0.0372,0.0526,4.62e-06,0.13,0.593,115.51,3
george thorogood & the destroyers,bad to the bone,0.459,0.727,-11.777,0.0303,0.00614,0.0652,0.384,0.955,149.231,3
eric clapton,cocaine,0.699,0.502,-12.526,0.0278,0.0607,0.0337,0.317,0.676,105.267,3
albert king,born under a bad sign - mono mix,0.711,0.483,-11.211,0.0298,0.434,0.012,0.0284,0.884,91.652,3
the rolling stones,(i can't get no) satisfaction - mono version,0.723,0.863,-7.89,0.0338,0.0383,0.0317,0.128,0.931,136.302,3
the band,the night they drove old dixie down,0.507,0.493,-8.786,0.0327,0.453,0.0,0.241,0.467,127.671,6
tame impala,elephant,0.594,0.555,-6.689,0.0377,0.541,0.151,0.286,0.52,123.069,3
chuck berry,johnny b. goode,0.533,0.871,-6.085,0.0656,0.759,0.000186,0.337,0.97,167.841,3
creedence clearwater revival,fortunate son,0.643,0.669,-7.485,0.0398,0.208,0.00664,0.151,0.609,132.709,3
little richard,long tall sally (the thing),0.474,0.598,-5.023,0.0973,0.768,0.0,0.0841,0.917,184.484,3
allman brothers band,midnight rider,0.395,0.535,-9.562,0.033,0.214,0.0167,0.196,0.679,189.139,0
jake bugg,lightning bolt,0.561,0.846,-4.48,0.0867,0.0634,0.0,0.193,0.75,116.168,3
cream,sunshine of your love,0.684,0.482,-12.59,0.0384,0.475,7.32e-05,0.118,0.785,115.066,3
the black keys,tighten up,0.459,0.708,-6.167,0.0681,0.00142,4.44e-06,0.485,0.583,108.952,5
the white stripes,the air near my fingers,0.469,0.735,-7.011,0.0395,0.323,6.35e-05,0.372,0.399,93.924,0
jamie n commons,rumble and sway,0.645,0.821,-4.912,0.248,0.106,5.38e-05,0.137,0.682,79.986,3
led zeppelin,i can't quit you baby - remaster,0.529,0.452,-12.593,0.136,0.534,0.000151,0.301,0.539,78.196,6
tom petty and the heartbreakers,mary jane's last dance,0.402,0.814,-4.954,0.14,0.0383,1.19e-06,0.266,0.516,170.02,0
