artist,song,features
ANGRA,Live and Learn,spotify:track:5LZci9wxIwwvF9qh8cMpHS
ANGRA,Bleeding Heart,spotify:track:4m2HvlrZ1kKsgFpcLh5h0V
ANGRA,Hunters and Prey,spotify:track:3Gs5F9IN5BEhU8jhdr5KrQ
ANGRA,Eyes of Christ,spotify:track:2ahYaznOR2pfAu6voMj3T7
ANGRA,Rebirth (Acoustic Version),spotify:track:3tQWuqbfcQumQL3KHfOM3C
ANGRA,Heroes of Sand (Acoustic Version),spotify:track:1mzAPJgeC1OeuB11bcfGuZ
ANGRA,Mama,spotify:track:2Nu473tMWCxqVvIit230u7
ANGRA,Caça E Caçador,spotify:track:4b8AgvS5dYLNaxWSOFCxD2
Firehouse,Rock On the Radio,spotify:track:5O0GElfKOTJYHH1xsldWmp
Firehouse,All She Wrote (Live),spotify:track:0oIbfeHdm2BmD1jWD29dQc
Firehouse,Shake & Tumble,spotify:track:4MLmEX0LoKw9TB26bWYLEe
Firehouse,Don't Treat Me Bad,spotify:track:4lbhQdbiTpNP7GowZG8KsM
Firehouse,Oughta Be A Law,spotify:track:4oYpamezLvJHIdYWhkiNKf
Firehouse,Lover's Lane,spotify:track:42jmpakZBZOTa64a59f7iX
Firehouse,Home Is Where the Heart Is,spotify:track:1Yl8AeMziYezVBj4FAV5ck
Firehouse,Don't Walk Away,spotify:track:5NzbFdMn2JR4q3XKyhzt7o
Firehouse,Seasons Of Change,spotify:track:4sXwx544m084sjzv3LSHie
Firehouse,Overnight Sensation (Live),spotify:track:3vMIPeiTP2fG321NMtRP59
Firehouse,Love of a Lifetime,spotify:track:2kDH08boXJyhKMl5hnZbrE
Firehouse,Helpless,spotify:track:5rHW9vuAB25PDS0gBTPbPQ
Mario Diaz,Cuando el Corazón Se Cala,spotify:track:6aMYfo8uuNir8Mu3N2Mtya
Mario Diaz,Gloria Bendita,spotify:track:0k0Rmg3kOUEkpzOHSoDTKN
Mario Diaz,Tú Dices y no Dices Na',spotify:track:3dgvmPor6egt56UAeQcBwb
Mario Diaz,Loco Corazón,spotify:track:2IAhe18vnHGcNBd9gRm3A0
Karamba,Búscate la Vida,spotify:track:4PZRay71RiOkf2CGS4vsU3
Mario Diaz,Homenaje a la Mía Vida,spotify:track:4gpcAyAqxgeDarAYQtWKvD
Karamba,Dejame Volar,spotify:track:6pyIa8hhVdZJNYhSocB5Gw
Karamba,Se Acabó el Querer,spotify:track:0Co4VJbIS5A5G2qcFfpVRl
Mario Diaz,Inténtalo,spotify:track:0AgZAoKAgE6i2jTcCgIlfB
Mario Diaz,Pídeme Perdón,spotify:track:1SNYxvEWVNNucmuGfUrcOB
Karamba,Gavilán,spotify:track:1T0DwtHrnX3GSCqVa56YuY
Karamba,Abrazo Roto,spotify:track:68eu6IETedDZz3hwW0Knh2
Arnocorps,Unbelievable Intro,spotify:track:0O3QIl65eHtmWmZG7OctlO
Arnocorps,Mr. Freeze,spotify:track:0B0mLdFGcktovDiHcXGyuN
Arnocorps,Junior,spotify:track:1KQbNDcAIeel7Eq6Iwrf7b
Arnocorps,Kindergarten Cop,spotify:track:1EIUQXDvi5H0xUCYYKZW9U
Arnocorps,Jingle All the Way,spotify:track:6GuhSASUFSAjA3VcsWzxkb
Arnocorps,Handsome Stranger,spotify:track:1rWdbp9mLan3iucIFgVcaz
Arnocorps,Twins,spotify:track:6eFxQ9qHy6QJtSP4DJKvvA
Arnocorps,Arno Intro,spotify:track:0WgBhs36VXvTNOBvrUzGS4
Arnocorps,Predator,spotify:track:5U71WWuwv1202kkcqNoa8v
Arnocorps,True Lies,spotify:track:0u3BlcUgGPz3uXZSbmHlY8
Arnocorps,Total Recall,spotify:track:2APyxskw6L91kHRe4iu6rD
Arnocorps,Commando,spotify:track:44kjXBPlmB1uyBFcfNslvC
Arnocorps,Collateral Damage,spotify:track:6YOPlbYG3yBuxVOp7RvLh9
Arnocorps,End of Days,spotify:track:6wzvEbkDStXihyl6anVPf9
Arnocorps,Sixth Day,spotify:track:3rH7cBgFRe2wGWX3OYJln2
Arnocorps,Running Man,spotify:track:0m9PC4JB0It1ypBjqThv3p
Arnocorps,Raw Deal,spotify:track:0DoEb7TpyRhRbviASIm026
Arnocorps,Eraser,spotify:track:2gFdsLP75hFTV6UPbNe9OY
Arnocorps,Crom (Strong on His Mountain),spotify:track:3dmzKtzU4523NMQYWrSeNJ
Arnocorps,Wheel of Pain,spotify:track:4vKS8DqzeiFI4rJtxabknJ
Arnocorps,Terminator,spotify:track:7EG9VRLN7u6zuTuOl0tqw1
Arnocorps,Last Action Hero,spotify:track:524lZhmiHF6bObWtHjqrr0
The Highwaymen,Silver Stallion,spotify:track:6ivUoajqXRNVIyEGhRkucw
The Highwaymen,Born and Raised in Black and White,spotify:track:6AEPHlvR4jgwXe2J0vM1Sl
The Highwaymen,Two Stories Wide,spotify:track:673LeigxlaoCkxPaIyv5Sc
The Highwaymen,We're All in Your Corner,spotify:track:7xSokQ8hCA2yNt9mo3GETk
The Highwaymen,American Remains,spotify:track:4REjaHRPmVb7btssqChJSy
The Highwaymen,Anthem '84,spotify:track:3pda0BaJG9vrHF1ZE1kc2J
The Highwaymen,Angels Love Bad Men,spotify:track:4erMZWKJDVPko0AQtWD5ZR
The Highwaymen,Songs That Make a Difference,spotify:track:7pcpTlDSjqceuUHWqFiMLf
The Highwaymen,Living Legend,spotify:track:4iXbVCLRijzZGCSb3g6FtB
The Highwaymen,Texas,spotify:track:5AGUgPn2MTRf1UDhh0nh0y
Matt Mitchell & the Coldhearts,Black Diamonds,spotify:track:2Dc9wFVuXXQQheJTgpfzPA
Matt Mitchell & the Coldhearts,Home,spotify:track:4vRdegu6To8g0Qfc2LYC2W
Matt Mitchell & the Coldhearts,On & On,spotify:track:6zHtX27PvReqjcGqvyPDF1
Matt Mitchell & the Coldhearts,Dare You to Watch,spotify:track:6vAAYHeZBP1DrBtq3q9zxD
Matt Mitchell & the Coldhearts,Kings & Queens,spotify:track:48xdBaAOMdbFSoBzxC7mv1
Matt Mitchell & the Coldhearts,Unavailable,spotify:track:43ENriYgL32AR92acXohAU
Matt Mitchell & the Coldhearts,Do You Wanna Be My God,spotify:track:04rCh9aCXRcKRnNcNLWymv
Matt Mitchell & the Coldhearts,Old Enough & Ugly Enough,spotify:track:0T7zcohtw8nphlhMNwfY2w
Matt Mitchell & the Coldhearts,Wave Goodbye,spotify:track:6iiB48Hl2ikctRtxfd3OHZ
Matt Mitchell & the Coldhearts,Everything to You,spotify:track:5R712Yg6phu4UFSPOCb1Js
Matt Mitchell & the Coldhearts,Keep Me Safe,spotify:track:14jctGqE7rxBst66v54ieZ
Matt Mitchell & the Coldhearts,Waiting for the Sun,spotify:track:1hY4J59t74TLr5LFNKIkOm
Orita Nobotta,崖の上のポニョ - Brass Rock Ver.,spotify:track:6uXfMQTsGz6r4Jw8KWHlYW
Orita Nobotta,晴れた日に... - スーパー・サウンド・コレクション Vol.2 魔女の宅急便組曲,spotify:track:1KdpwjbnqJDQUcw6FB1963
Orita Nobotta,仕事はじめ - スーパー・サウンド・コレクション Vol.2 魔女の宅急便組曲,spotify:track:7CCJqUKwd1oPvzvsvHSdPl
Orita Nobotta,海の見える街 - スーパー・サウンド・コレクション Vol.2 魔女の宅急便組曲,spotify:track:7nvCCuU67K7MvdSsHgEWSl
Orita Nobotta,旅立ち - スーパー・サウンド・コレクション Vol.2 魔女の宅急便組曲,spotify:track:1sHjBgzrp4N1GCUaFBa11b
Orita Nobotta,人生のメリーゴーランド - Jazz Ver.,spotify:track:3n4BHGMChC5nG8xdLxeFj5
Orita Nobotta,Cave of Mind - Trumpet Solo Feature,spotify:track:1B0iF0e3fehVTEVDAX1KVl
Orita Nobotta,アシタカとサン - Piano Solo Feature,spotify:track:2Iz0F9rMlbO1xpUdnPZQat
Orita Nobotta,千と千尋の神隠し組曲(I. あの夏へ),spotify:track:5JEs4yRKI6JsAJxqQ5bfra
Orita Nobotta,千と千尋の神隠し組曲(II. 竜の少年),spotify:track:7oBzP8zVPh4djipfVgBhdR
Orita Nobotta,千と千尋の神隠し組曲(III. 神さま達 ),spotify:track:3dPrWcYJ98S8Sb9gMqSLHa
Orita Nobotta,千と千尋の神隠し組曲(IV. ふたたび),spotify:track:5TkEU2aL4ows6R0mDJ0h3S
Orita Nobotta,千と千尋の神隠し組曲(V. いつも何度でも),spotify:track:3LIjleRxKrpwHqXKbNEBsB
Orita Nobotta,君をのせて,spotify:track:0p6TV5EUnJ5GcvxRdFytxv
Orita Nobotta,ひこうき雲,spotify:track:2TYZ0Lyd2CRUjb2iAaSYiu
Orita Nobotta,メドレー:さんぽ/風のとおり道/ねこバス/となりのトトロ - Jazz コレクション Vol.1 〜映画「となりのトトロ」より〜,spotify:track:40nGYBb6cvqs4i3akmWJS1
Joe Hisaishi,The Legend of Ashitaka,spotify:track:06uyYjVamlz8lSZbqKObiN
Joe Hisaishi,Princess Mononoke,spotify:track:5yRZIekq5EmbI7O39RqfUH
Joe Hisaishi,ta•ta•ri•gami,spotify:track:2RchdZB5bFszs4TokVztKY
Joe Hisaishi,Ashitaka and San,spotify:track:4Ok9mzyEW8CAhL42kqSdyy
Joe Hisaishi,Nostalgia,spotify:track:4pBhj4ZnUp8A0LkvEYgtRd
Joe Hisaishi,Cinema Nostalgia,spotify:track:52WsGhnRHfvlqQik8C8Hp2
Joe Hisaishi,La Pioggia,spotify:track:2qdatPpCOgm2yw8dTDCP3o
Joe Hisaishi,Hanna-Bi,spotify:track:6aMO5EbcZOFLRi7FcPYiM5
Joe Hisaishi,Sonatine,spotify:track:03wt6Fttys0hsQTzeftTNk
Joe Hisaishi,Tango X.T.C.,spotify:track:7dKOZ1Pd2vQ1LbQ3mbSfs4
Joe Hisaishi,Madness,spotify:track:4QvRLFgUvJXoiLb4njIiYi
Joe Hisaishi,Friends,spotify:track:0sCzwOAPn2nof1LbZgXtR4
Joe Hisaishi,Asian Dream Song,spotify:track:34zJsfOtLEL2QfdSYcKMvs
Rodrigo y Gabriela,Tamacun (Remastered),spotify:track:1YH3geH5f4BCaXNoLV7Za3
Rodrigo y Gabriela,Diablo Rojo (Remastered),spotify:track:7aBHOhcpxDA1AXg5GVlrIZ
Rodrigo y Gabriela,Vikingman (Remastered),spotify:track:4ZSUHNxuyGBjAtHDTKqJPL
Rodrigo y Gabriela,Satori (Remastered),spotify:track:7BAj49iPnnxAt0VXYeMZIm
Rodrigo y Gabriela,Ixtapa (Remastered),spotify:track:1AZUqmNASH4jeWkGE3VP4l
Rodrigo y Gabriela,Stairway To Heaven (Remastered),spotify:track:6Rjr3hO2bkUFbXWStlcD81
